Date,Reve_Moyen_Faible_UN aide,Reve_Moyen_Faible_Remittances,PMA_UN aide,PMA_Remittances,Sub-Saharan_UN_Aid,Sub-Saharan_Remittances,Revenus_Moyen_UN_Aid,Revenus_Moyen_Remittances
2005,13260000,5472614106,13230000,1497795722,15830000,3328265587,21340000,23838803304
2006,13520000,6613128389,12400000,1883551785,19190000,3533910390,24670000,27140213783
2007,28890000,7782648922,29390000,2390844717,45550000,4082885114,51830000,30455833841
2008,17120000,10585359428,18080000,2989346349,20930000,4278368828,26420000,35821070930
2009,19400000,10332070597,20380000,3422179663,32340000,4536615405,30140000,37959940553
2010,21850000,12329209419,20690000,3718295268,36080000,4781338993,35760000,34868951931
2011,27110000,13152886461,27180000,3597637411,40900000,4752878160,55270000,36265799221
2012,23270000,14871341657,23870000,4048797365,40750000,5149728756,40800000,42242641631
2013,26880000,18064677292,29010000,4702579233,48690000,5234015409,44240000,48879077050
2014,22520000,17121956591,24670000,4712395129,42490000,4145644620,37110000,49819753282
