Territoire,Types de projets,"Budget d'investissements par les partenairesPublics, privés et internationaux"
Caracol,Parc Industriel,"$70,000,000.00 "
Saint Marc,Port Lafito,"$57,000,000.00 "
Acul du Nord,Construction ecole secondaire,"$1,209,000.00 "
Ouanaminthe,Marche public,"$1,078,000.00 "
Acul du Nord,Construction centre de sante publique   Soufriere,"$806,000.00 "
Acul du Nord,Construction centre de sante maternelle et infantile au Flaville,"$726,000.00 "
Cap-Haitien,Construction centre de sante publique au Haut-du-Cap,"$709,000.00 "
Caracol,Abattoir et marche public Champin,"$645,000 "
Carrefour,Construction ecole publique   Coupeau,"$645,000.00 "
Acul du Nord,Construction un abattoir et marche public   La Bruyere,"$613,000.00 "
Cap-Haitien,Services d'assainissement ameliores,"$600,000 "
Cap-Haitien,Construction d'une station de bus,"$507,000 "
Cap-Haitien,Abattoir Marche moderne,"$484,000 "
Limonade,Station de bus dans le centre-ville,"$484,000.00 "
Acul du Nord,Rehabilitation de sites historiques et touristiques,"$484,000.00 "
Carrefour,Station de bus,"$484,000.00 "
Carrefour,Construction bibliotheque publique,"$484,000.00 "
Ouanaminthe,Developpement du potentiel touristique de la cascade de Jassa Bathary,"$462,000.00 "
Ouanaminthe,Construction centre de sante maternelle et infantile   Jean-Rabel,"$425,000.00 "
Carrefour,Construction d'un centre socio-culturel,"$403,000 "
Limonade,Construction centre de formation professionnelle   Dubourg,"$371,000.00 "
Limonade,Construction centre de sante publique   Basse Plaine,"$355,000.00 "
Limonade,Construction centre de sante publique au Roucou,"$355,000.00 "
Carrefour,Construction centre de sante publique a Bouvier,"$355,000.00 "
Caracol,Construction centre de formation professionnelle (jeunes),"$323,000.00 "
Caracol,Sites touristiques (Charlemagne Peralte et Santa Maria),"$242,000 "
Limonade,Construction d'un cimetiere ameliore au Mouchinette,"$242,000.00 "
Ouanaminthe,Construction centre de formation professionnelle (Femmes defavorisees),"$235,000.00 "
Ouanaminthe,Station de bus dans le centre-ville,"$134,000.00 "
