Country Name,"GDP per capita, PPP (constant 2011 international $)_2011","Net enrolment rate, secondary_2011"
Afghanistan,1712.58872,
Albania,9640.144593,
Algeria,13026.19166,
American Samoa,,
Andorra,,
Angola,6524.481181,
Antigua and Barbuda,19987.92414,
Argentina,,83.95173
Armenia,6803.482997,
Aruba,36015.07046,76.93623
Australia,41763.11851,86.39829
Austria,44022.39527,
Azerbaijan,15754.15236,86.07425
"Bahamas, The",22665.16756,
Bahrain,39676.71702,
Bangladesh,2579.335048,45.87797
Barbados,15401.54965,88.81115
Belarus,16603.38953,94.23383
Belgium,40858.72517,
Belize,7855.674423,65.40976
Benin,1761.574331,
Bermuda,54984.51039,73.19643
Bhutan,6882.688407,53.35622
Bolivia,5598.566773,72.79428
Bosnia and Herzegovina,9422.276108,
Botswana,13634.26789,
Brazil,14827.14672,
British Virgin Islands,,77.42743
Brunei Darussalam,73265.12163,90.85092
Bulgaria,15603.05166,85.20056
Burkina Faso,1470.435184,18.46772
Burundi,712.6704834,16.49577
Cabo Verde,6147.974534,
Cambodia,2648.650018,
Cameroon,2614.495561,
Canada,41565.27122,
Cayman Islands,49902.14655,
Central African Republic,900.6397845,13.91438
Chad,1862.351166,
Channel Islands,,
Chile,20266.03603,88.37493
China,10274.49435,
Colombia,11496.52725,
Comoros,1347.797753,
"Congo, Dem. Rep.",617.1479614,
"Congo, Rep.",5632.435875,
Costa Rica,13072.14256,75.85511
Cote d'Ivoire,2546.906812,
Croatia,20571.27528,94.98753
Cuba,18924.76327,88.78403
Curacao,,
Cyprus,32983.18518,89.68342
Czech Republic,28604.21266,
Denmark,43314.05636,91.25513
Djibouti,2782.971292,
Dominica,10189.39821,78.93563
Dominican Republic,11375.62039,61.67561
Ecuador,9926.952496,70.78292
"Egypt, Arab Rep.",10071.20526,76.67716
El Salvador,7596.509131,66.4519
Equatorial Guinea,36754.81047,
Eritrea,1411.157638,30.95689
Estonia,23954.86597,91.32946
Ethiopia,1165.216838,
Faroe Islands,,
Fiji,7486.761437,84.72191
Finland,40251.37351,92.96122
France,37325.30434,96.88328
French Polynesia,,
Gabon,17100.70052,
"Gambia, The",1532.494004,
Georgia,7315.090898,
Germany,42142.5489,
Ghana,3430.857389,
Gibraltar,,
Greece,26626.46005,
Greenland,,
Grenada,11221.36234,
Guam,,
Guatemala,6798.842734,45.4365
Guinea,1183.855846,30.05907
Guinea-Bissau,1416.311777,
Guyana,6077.186038,82.48106
Haiti,1562.304129,
Honduras,4433.71931,
