Pays en situation fragiles,PMA ,Pays_a_revenus_moyens_ou_faibles ,OECD ,Zone_euro
351189874.96,436402119.66,11525027316.52,43896966375.37,9208313745.12
-85683881.33,210873322.65,9150931544.70,74210777278.92,13176223320.75
236023434.99,417076758.16,9281071654.65,117436221837.49,21016367422.25
573378662.72,616962527.47,16848726322.28,133508567644.39,31148519723.57
1100648924.52,1266264912.88,20964809000.57,166809323343.78,40244076769.08
733198599.99,487790798.89,20902875308.50,169323726558.79,53137374022.35
879733390.45,1554577360.62,29825629164.22,114895724061.91,45644508467.29
930253586.05,1512006599.08,42382126060.15,111455049381.69,48956693736.32
1351101643.12,1895314006.51,61394977403.17,146677074783.17,47279424493.71
684577662.86,1057040126.13,81503551778.91,159636614926.10,49404203013.40
1194722794.86,1902971783.54,91701114710.76,225130057225.08,68196521062.30
875597710.19,2293500237.26,113190337220.35,243626193964.93,70465707780.63
1525837544.82,3141856322.94,150594829691.66,297698330546.08,72629335605.81
2097148339.69,4355150937.73,150676794129.24,506775432826.46,141670263969.94
1848589404.47,5738178636.70,153371881637.47,768230465944.69,199513278823.20
3169463755.10,3956136899.47,146812458434.08,1221804415301.05,466002140023.94
3979836922.75,6999105333.72,159318014972.26,604197959896.24,232227303365.51
4089155691.90,6239765694.07,154240362030.12,587585163512.14,250938370153.10
7860049983.03,10059782448.83,162657814729.18,512644029412.98,266339048375.76
6648709981.34,9178189183.93,217736115840.69,701552453147.15,266710519496.65
7832032087.77,6562885439.31,302249711964.89,1133223215725.35,616666349379.13
11271352244.35,9576673624.49,405111597304.82,1576031606391.44,799654035190.74
18276120392.20,13848501299.98,548754924880.38,2287122797767.78,1261429528962.12
21556476615.63,17783784185.59,627469402911.23,1613865854708.91,652473872799.29
18203869269.53,16979078207.24,426565742538.49,753796755893.56,389858602905.28
16449981951.64,15608141597.14,623571173575.06,985413718978.09,508407355786.80
15544406506.96,22190667896.39,735132202613.99,1325918400235.61,764489324062.63
16247926426.52,19503438204.47,668946688228.07,1161560786456.41,645738153597.82
16445240847.13,21618448302.30,745308467786.43,1094007955588.70,539575641481.83
13823994524.60,27636271847.41,674064539694.74,825767566846.90,279799513331.22
16668655682.97,38061723517.83,647779312410.64,1213152669897.34,466096109234.11
