MESURE - Dollars des États-Unis aux prix courants et taux de change courants en millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNÉE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ÉCONOMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Afghanistan,1748.886597,1831.108982,1595.555482,1733.333275,2155.5555,2366.666613,2555.555571,2953.333408,3300.000103,3697.940356,3641.723443,3478.787916,3438.884594,3399.439011,3360.445864,3321.900002,3320.599991,2887.499993,2664.299991,3342.200002,3621.600007,3340.100005,3474.600007,2664.399992,2114.6,3236.3,3124.359411,3016.290743,2911.960069,2719.992175,3531.869351,3620.52525,4285.170218,4935.549827,5586.984096,6621.833827,7514.261673,10380.12521,10768.48057,12572.59811,16077.92104,19170.46766,21330.88285,21618.31254,22829.98066
          Angola,2864.617813,3015.133844,3105.037313,3793.654562,4250.696503,3130.848225,2994.865507,3275.620028,3643.291664,4044.387994,5389.874992,5044.497627,5044.497627,5257.037569,5572.525904,6865.432181,6442.977472,7419.212514,8009.893709,9321.010763,10296.87813,12167.55498,13974.3878,10126.358,10421.53071,4994.12852,6525.802063,7648.377413,6445.041825,6088.257948,8858.473258,9471.498333,11431.73669,13956.26814,19775.22783,32810.65548,41789.49319,60448.88758,84178.08414,75492.41652,82513.00324,104115.9315,115337.1302,121692.2754,125922.7157
          Bangladesh,7121.68528,6411.386982,7144.531284,7783.830367,9296.774903,9742.51836,10859.15155,11436.42238,14656.48917,16963.72814,19229.28847,19503.51597,17750.89552,18115.82041,21234.80058,22033.713,23241.50193,26407.74329,28523.15985,30982.70129,32341.36451,34559.96167,35277.00969,36420.41086,38707.17357,43524.81521,45743.18472,47321.79432,49054.19651,51446.86985,52264.66425,52222.52239,54247.6468,59415.17369,64311.2519,66240.17123,69321.45763,78850.9483,91458.76319,102358.219,114586.334,123626.801,128899.3079,153504.9348,174771.4118
          Bénin,298.1304081,316.396695,389.6506062,477.3057004,512.7547272,623.8903919,664.4434828,727.5053912,882.9901028,1075.43038,1374.174246,1299.953035,1267.894316,1095.447929,1051.225524,1045.663763,1335.625513,1562.385609,1619.731022,1502.155275,1844.895198,1898.216539,2112.941283,2140.100593,1503.6076,2169.695313,2361.116727,2268.301645,2455.092688,2488.892429,2359.122303,2499.269391,2807.651535,3557.224507,4050.864159,4358.007268,4705.080388,5511.877927,6633.553231,6584.541019,6557.804741,7289.718715,7543.281508,8307.233951,8654.607654
          Bhoutan,61.77564435,66.32873025,70.09848139,78.85374325,92.84697064,86.7695395,88.40907401,97.82668083,94.03071355,105.3158237,128.593292,144.7159224,152.191512,170.8199189,167.8186125,172.2032302,203.7643741,245.2882771,264.62198,254.2143252,273.6000418,233.143033,234.7032431,220.8576936,259.5529433,289.1351741,305.6406396,356.322548,360.3734674,401.8091924,439.1425498,476.3968971,537.0466071,621.9822534,702.7368065,818.86961,897.7313599,1196.090841,1258.339593,1264.749979,1585.464241,1820.20914,1823.690223,1781.261397,1949.285746
          Burkina Faso,450.0922222,459.4536314,586.6718781,678.9064762,747.7798048,889.5522114,852.9621714,1030.604827,1328.172095,1782.241534,1933.165643,1791.477576,1643.151434,1501.30334,1342.096835,1568.522911,2057.30973,2394.153141,2643.024618,2642.527923,3133.314718,3167.249552,3391.284425,3232.508008,1914.845381,2403.943866,2613.101565,2472.794485,2833.694893,3012.646768,2632.700088,2834.162162,3205.592273,4205.692842,4838.545336,5462.718534,5816.308138,6755.81976,8350.705923,8348.166978,8992.68451,10755.56148,11221.08618,12547.26932,13180.80237
          Burundi,244.8157691,251.8778613,245.7311624,304.7189429,345.4997572,413.8242781,456.1765641,541.8670485,612.0668142,790.8290657,948.7829718,990.6324059,1042.844451,1104.180607,1003.65191,1168.18795,1230.484577,1159.132107,1086.365186,1128.742784,1145.415347,1164.448358,1084.05424,974.6610274,1068.605212,1000.228385,868.7853642,972.6577698,893.5143289,807.9867364,708.9700341,662.2119903,627.9747136,595.3610773,679.748248,1116.887484,1273.375078,1356.199387,1611.835857,1775.503975,2032.135191,2259.734565,2421.591944,2548.881335,2900.211749
          Cambodge,769.1149107,767.7963,757.4861213,647.3971167,668.6339772,720.7000696,760.2615455,688.9183341,737.2899979,695.7665532,715.5213201,782.6419995,831.196634,902.3224792,980.4193507,1059.044085,1121.472706,1397.717957,1680.907462,1741.743758,1697.719548,2248.213477,2393.653451,2433.856452,2676.188979,3309.356001,3506.718126,3443.471826,3130.078523,3512.777995,3666.637567,3991.795046,4289.402492,4664.899329,5337.889823,6293.048259,7274.501919,8639.240662,10351.91778,10401.8441,11242.27882,12829.54293,14054.44321,15249.6844,16435.48209
          République centrafricaine,197.8601758,210.7758568,240.9791823,283.7360113,294.4245111,396.1879983,472.0360824,530.7807256,638.8420104,733.2027963,833.9431591,726.9657358,782.9513973,689.1692692,667.3450701,904.8833028,1174.214101,1256.585294,1323.450843,1291.048294,1507.401272,1441.132986,1477.274511,1337.975404,890.5747922,1167.020504,1054.441273,981.1490976,1012.116,1045.74277,956.8320945,974.9673904,1037.278713,1192.51345,1328.871606,1412.805702,1537.502785,1754.928634,2033.153896,2029.424164,2033.813912,2265.951515,2236.749993,1585.255655,1811.520529
          Tchad,474.8813527,518.2977683,538.6506677,597.3559497,695.9482981,1005.454251,944.0298867,954.9516727,1154.526522,1339.649713,1146.375969,910.5864138,822.1196522,815.7112636,878.9386144,867.6435727,1068.047973,1212.582442,1416.655977,1338.864366,1612.106731,1600.107974,1666.983677,1454.217182,1179.740664,1444.714303,1615.274739,1542.775803,1757.748413,1528.782584,1385.361147,1709.737561,1987.328738,2722.679751,4414.8736,5873.375706,6299.827214,7008.151378,8353.964907,7466.328199,8630.18686,9819.351419,10210.6195,10459.90121,11384.95405
          Comores,19.62367729,21.70294681,25.57280993,34.12935683,38.56625946,59.8755778,59.02946369,65.30102742,84.68276388,113.1958345,123.5056615,114.2718763,107.0895626,111.519674,107.4898318,114.4907089,162.4877782,196.4336711,207.4765594,198.7331907,243.7721121,245.4693049,266.1910828,263.5681331,185.7618132,231.8962337,230.4957565,212.106494,215.3940486,222.5804616,201.8998836,220.1156553,251.1624206,324.4708689,362.4204835,387.0361317,403.1794744,464.9488793,525.9578027,526.9857058,533.3560504,589.4455007,573.9463614,622.0032147,664.6401312
          Rép. dém. du Congo,4790.419162,5389.221557,5988.023952,7784.431138,8982.035928,9580.838323,9088.040391,11908.9317,17942.58373,15622.73977,16075.73457,13690.81574,13568.16699,11640.08846,7059.556355,7520.719582,8706.337257,7421.34839,8485.315112,14159.75614,15032.8949,14187.89395,13009.42945,16975.06943,9205.583251,8946.579641,9155.409422,9419.104879,9853.19686,3131.856039,2981.728591,8349.998629,8728.022248,8937.648681,10297.49508,11964.55831,14296.61057,16364.00924,19206.05022,18262.72996,21561.99339,25835.37223,29306.26964,32690.84173,35753.80303
          Djibouti,66.02309285,74.61671362,89.72004024,112.0820734,141.0728866,156.6898113,187.0230848,201.4583288,220.8909888,264.009318,301.1855661,319.7033553,334.1360897,337.5909431,357.4139261,369.3793731,396.329274,408.0057542,432.5084809,441.2704346,456.9139269,466.2735411,481.5913707,482.163616,510.8771614,509.6313885,496.4708729,491.1552377,497.7515319,536.0818361,555.8994154,577.4950625,596.1760287,627.5566759,666.2127717,708.6331947,768.6429854,847.9189291,982.5344219,1049.234474,1128.6117,1239.144502,1353.632942,1455.771411,1581.913331
          Guinée équatoriale,20.26964753,21.04748976,20.13308275,25.61100079,27.22895866,33.70966833,35.01801453,38.79539128,43.93260618,49.67761365,53.79016054,50.62547495,60.07779961,67.86358715,68.14297774,80.24631929,99.66514212,120.697159,128.2489234,112.9336628,133.2195774,131.7778432,160.0582258,161.6512633,119.7782444,166.3675525,273.7655995,525.9908313,441.0233316,738.0083138,1177.426875,1694.999632,2086.501438,2753.558225,4774.439764,7205.504354,8537.487931,10827.27864,16374.10439,11122.76045,13391.91949,17992.15232,19601.80428,18531.50934,17160.1073
          Érythrée,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,437.0348836,505.0714877,630.7669725,639.7237197,748.4554493,782.0658201,809.3089569,793.7007993,706.3708123,752.3716821,729.3216689,870.2482922,1109.054002,1098.424709,1211.161879,1317.974493,1380.1888,1856.69555,2117.039511,2607.796751,3091.990888,3437.622726,3907.355768
          Éthiopie,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,10229.79877,7382.76673,7147.530061,7586.836819,8235.652824,8521.562903,7726.621812,7328.478793,8030.202592,7963.475849,7691.105599,8454.119435,9935.641483,12163.59194,14983.27234,18991.91943,25608.60995,28194.22202,26311.26597,29921.24179,41717.85342,46017.35144,54254.75866
          Éthiopie (...1991),2559.07527,2709.458845,2958.143029,3420.507255,3846.328015,3827.828059,4160.065103,4729.822188,5033.997501,5533.011307,5888.73706,6168.592206,6351.790276,6950.163398,8210.16979,9614.572845,10042.15049,10740.50652,10435.49975,10722.35301,11546.20694,13173.61181,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
          Gambie,96.34805811,101.0396955,131.5438514,224.1564638,293.4472761,351.8484683,323.4916397,341.7383304,406.252265,445.4034123,503.9801402,533.8438698,535.8824455,529.8004278,518.5812653,654.3294385,444.5417804,497.1610522,623.5694338,648.2255807,707.640378,690.311097,714.2542625,755.0409385,746.4939592,785.9998821,848.2394009,803.6333664,840.2852689,814.7240598,782.9138661,687.4093938,578.2358265,487.0400428,578.7862727,624.1725118,655.0694842,798.8684044,965.769736,900.6408454,951.8257927,904.2560266,914.0954772,901.8914735,862.579141
          Guinée,573.210394,634.6369158,677.4416777,725.4994887,832.1859924,935.4170825,1064.950074,1093.082388,1249.336875,1336.143035,1494.541734,1644.03178,1777.455074,1871.658824,1965.198846,2129.485509,2240.094736,2373.057995,2611.072007,2663.345537,2920.391997,3085.365407,3324.12016,3306.815556,3464.727129,3933.040539,4115.58901,4018.585674,3668.328196,3552.655215,3192.277748,3047.012745,3050.296966,3442.386229,3631.88489,2934.85777,3048.215586,4682.053628,5310.243556,5309.676741,5232.837646,5599.157846,6192.690608,7218.544075,7722.985426
          Guinée-Bissau,307.4843626,304.933171,356.9556243,439.8424857,483.3331073,555.8445701,500.362486,430.1358755,496.8265059,543.6553901,513.3541032,559.2841484,458.0491165,459.9469385,502.460608,454.6512595,504.7990946,546.8839716,517.3802911,568.0987842,608.5495494,647.6719626,669.3989611,699.3812865,736.7871747,785.3605048,587.6842649,462.7093967,354.3326016,386.7932373,371.2495607,394.2425905,418.0658991,468.4374621,524.173694,586.7918361,591.8298975,695.6063139,864.1077683,826.9693713,845.0347361,974.349585,908.0734859,1036.354472,1115.562422
          Haïti,331.1999997,362.8000001,371.9986292,466.7999997,565.3995312,681.4000001,879.0000002,947.0000002,974.2000002,1080.6,1383.8,1416.2,1474.2,1623.6,1816.2,2009.4,2237.6,1958.8,1971,2265.4,2613.6,2351.608894,1532.494474,1551.491519,2056.914894,2333.926034,2722.348363,2971.405043,3443.106719,3746.596773,3357.891692,3214.586332,2945.612369,2590.184749,3354.207628,3806.696349,4470.425695,5471.661151,5871.568164,5958.263816,6146.528811,6848.336248,7166.002417,7691.336865,8001.576491
          Kiribati,20.19553971,21.43074714,27.16969792,44.43310187,80.47996962,77.53768724,57.86994031,54.54138448,63.48079879,60.57594734,33.49802318,39.48477502,38.92079176,36.72974692,40.323356,29.97526146,28.95945797,33.67732289,43.41417081,41.60787181,39.99753355,47.37178163,48.08571964,47.04166644,54.81075586,55.98122803,66.86761313,67.22773605,65.63863629,69.15841866,74.69928225,65.23717359,73.72834935,94.2014349,102.3602979,112.1362148,108.5477658,130.7393719,140.3609253,129.9696095,153.2067629,174.9181462,180.7663022,174.5269536,173.0781331
          Rép. dém. populaire lao,114.5929889,126.4189299,136.4446095,156.428602,176.6913796,205.9352066,223.6610867,232.7969777,251.6214246,266.9517536,320.1419435,403.6954236,459.1113341,499.5985453,554.4027238,601.1503653,643.2368893,650.2436908,659.4791723,782.3431508,865.6743432,1028.365131,1133.049144,1278.940598,1483.235878,1708.075312,1800.457025,1678.086003,1234.936201,1397.381049,1665.309931,1684.979411,1758.293208,2014.090053,2376.062445,2716.783867,3541.450756,4213.933722,5285.170106,5585.016535,6743.619373,8060.599783,9397.285819,10759.60783,11666.98404
