MESURE - Dollars des Ätats-Unis aux prix constants (2005) et taux de change constants (2005) en millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNÄE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ÄCONOMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Afghanistan,6929.847255,6910.741007,5777.295216,5944.596821,6268.756882,6657.748956,7021.805641,6667.723112,7161.443821,6976.92194,6717.593891,6862.219149,7001.857329,7345.965702,7480.616805,7500.565116,7724.98362,6932.038239,6358.524284,5909.687276,5725.165395,5099.369505,5181.698774,3888.090899,3022.555147,4531.855989,4293.013317,4072.311063,3887.479665,3698.806736,3495.24601,3296.867078,5439.744323,5887.348821,6025.242701,6621.833827,7228.470204,8391.73158,8587.506509,10066.65607,10392.53578,11294.70124,12529.20567,13336.22688,14136.40049
          Angola,13266.84608,14063.71062,14087.42683,15230.548,15709.61538,14917.49407,14134.85925,14239.21055,13485.03518,13527.72436,13897.3299,13285.84722,13285.84722,13843.85299,14674.48447,15188.09135,15670.49039,16767.48364,17701.91461,17770.50501,17691.49008,17866.87631,16823.75791,12788.84582,12960.13495,14904.15519,17884.98623,18868.66047,18868.66047,19479.96727,20066.71873,20696.81369,23704.06072,24486.29473,27228.75974,32810.65548,38913.4374,47937.30695,54560.11275,55864.09945,57791.41088,60029.86337,63151.41626,66346.87792,69199.80031
          Bangladesh,20282.63272,19171.2493,16492.31094,17040.79245,18675.33782,17911.85003,18925.90456,19431.80459,20806.37892,21805.42521,21984.04257,22730.26767,23009.88469,24135.88908,25445.40624,26211.79262,27349.32695,28492.9161,29316.63009,30055.31886,32047.22779,33136.7744,34537.56484,36117.55918,37592.84913,39444.28094,41267.42769,43490.78342,45764.25833,47992.57636,50845.64717,53527.02263,55890.53835,58828.14185,62516.96219,66240.17123,70631.45388,75342.62485,80006.63207,84599.93972,89734.62246,95535.41388,101765.7096,107885.5031,114576.5599
          B_nin,1105.875477,1128.911538,1239.773712,1293.199307,1381.079622,1286.568534,1304.780573,1361.331845,1354.113224,1462.559281,1600.296681,1690.296694,1872.554712,1791.17469,1933.216924,2078.763751,2123.425192,2091.574102,2155.041758,2139.793236,2205.125073,2298.309236,2366.286577,2504.387134,2554.985782,2813.852222,2935.756318,3104.111239,3227.065462,3399.43753,3564.706881,3787.444402,3954.89165,4108.440648,4236.618125,4358.007268,4521.545018,4730.714376,4968.115181,5100.156933,5230.340189,5404.256518,5695.668548,6017.178121,6324.053603
          Bhoutan,84.44777496,86.70852677,87.71716986,89.00405936,93.59512454,90.49963361,98.60355931,106.3944578,113.9766716,119.4372567,125.4195538,139.7818844,142.9594662,154.5517855,164.1943029,173.6258614,198.279948,260.4514828,276.2597517,297.233519,331.0371906,333.4877443,345.7229044,352.6826922,373.4138562,398.727474,424.2675479,449.1862052,476.7234116,514.5844951,559.5444704,605.4483736,670.3999117,721.848827,764.4214607,818.86961,874.9749212,1031.997133,1080.884975,1152.831768,1288.079738,1389.730835,1460.205451,1490.066692,1572.02036
          Burkina Faso,1298.816679,1293.082438,1583.200885,1501.146993,1583.918841,1621.646012,1605.57094,1719.074794,1919.854819,1932.137829,1904.077339,2035.886288,2064.89192,1965.920259,1924.129669,2088.014816,2254.009421,2248.647838,2379.041532,2430.298264,2415.500295,2634.681801,2640.686774,2732.262609,2768.077982,2926.351907,3248.682302,3453.896181,3706.297037,3937.632303,4011.993461,4277.322867,4463.516347,4811.769165,5027.280448,5462.718534,5804.326845,6042.955917,6393.458951,6582.816776,7138.832491,7611.909606,8217.817611,8771.698518,9368.17621
          Burundi,616.1308063,636.1427724,598.0938285,639.3720185,635.9836501,636.114692,702.2533973,765.7993456,803.0994787,816.1755856,801.2929729,888.7353427,884.907048,912.4164811,911.5085482,1018.026871,1056.908866,1100.180765,1154.006767,1171.125046,1212.112339,1276.76035,1299.815111,1208.457662,1171.181854,1088.951629,995.2176932,998.9954549,1043.845723,1033.411905,1024.104788,1045.616253,1092.663114,1079.549831,1127.05116,1116.887484,1177.591428,1252.480213,1423.037623,1833.856207,2122.274832,2211.83483,2305.395444,2411.904713,2525.264235
          Cambodge,2573.237467,2444.686201,2311.773471,1873.829228,1775.772869,1751.808379,1751.808379,1494.705846,1494.705846,1302.956553,1229.099683,1229.604746,1229.604746,1284.118121,1347.451844,1410.380325,1463.986315,1779.20481,2067.312516,2061.963081,2085.885753,2244.134865,2401.896109,2500.171641,2692.067027,2851.487045,2982.660637,3150.279988,3308.078544,3702.062691,4026.639982,4354.73301,4641.234246,5036.016937,5556.780112,6293.048259,6970.872441,7682.779405,8196.880425,8204.000067,8693.196638,9307.773242,9988.484094,10733.592,11484.94344
          R_publique centrafricaine,1040.518194,1008.929821,989.0347703,1033.81621,1002.977709,1021.232415,1066.576259,1152.342909,1166.27731,1137.527743,1086.582428,1103.401091,1123.219987,1054.735196,1130.94205,1168.677033,1210.491876,1150.803094,1174.788919,1203.869581,1185.268711,1199.253042,1183.293536,1179.171102,1240.210042,1304.118482,1205.680895,1279.478094,1337.728102,1417.16374,1444.400021,1453.506577,1444.640419,1342.768864,1379.938958,1412.805702,1479.970608,1539.632001,1579.861156,1609.985449,1667.369489,1701.389762,1750.705236,1120.451937,1120.451937
          Tchad,1649.4905,1680.475404,1565.466729,1489.644846,1693.416158,1985.403316,1955.329733,1809.15389,1800.657484,1414.576934,1329.027979,1342.449115,1414.58772,1636.148304,1719.34888,1854.868296,1964.991871,2036.893943,2192.495645,2232.605621,2305.042023,2392.587446,2447.609822,2404.761776,2542.110002,2577.994223,2632.797541,2781.34859,2973.751322,2958.872243,2944.010087,3283.090901,3562.594945,4071.650991,5442.659592,5873.375706,5883.255506,5891.865588,5911.861174,6154.247482,6966.60815,7008.407799,7646.172908,7906.142787,8554.446496
          Comores,142.7610965,148.8730507,152.1628069,163.3041707,168.2661845,179.331728,179.8540452,187.0022094,192.6887278,211.1172595,226.7067443,235.4687813,250.5002214,262.5769071,273.3695119,279.6033533,284.824149,289.4895369,297.2696265,292.4042935,294.8969435,300.1488373,310.559317,319.8945359,303.0147184,313.9529806,309.7434097,322.8024824,326.5238298,332.8065521,337.5252587,348.7621785,363.2337673,372.2224145,371.329326,387.0361317,391.8437028,393.7676198,395.9727185,400.3284184,408.3349868,418.9516965,431.5202473,446.9255202,462.5645748
          R_p. d_m. du Congo,15510.67671,16442.09565,16466.94549,17806.90628,18364.36677,17449.52178,16523.12631,16648.8332,15758.90453,15826.68172,16174.06361,16554.23887,16478.47382,16711.10104,17637.07552,17719.59075,18555.46099,19051.93879,19141.55555,18899.21376,17657.85469,16170.87765,14472.93411,12523.5673,12035.14858,12119.39448,11995.39215,11321.60538,11137.72507,10662.12852,9925.343985,9716.864706,10003.2072,10561.12138,11272.86289,11964.55831,12601.17975,13389.72942,14223.64653,14629.6325,15669.49676,16746.49903,17933.43824,19454.61954,21166.62606
          Djibouti,405.03728,430.2394836,444.7078989,466.906731,450.4795952,501.3018628,544.733225,480.1215652,443.0625737,466.3844056,488.4004238,502.5614469,511.0527539,517.3858756,520.2870693,519.243323,513.0694069,515.607982,521.7907102,508.2241623,543.3359141,526.238904,557.0914061,584.0497082,569.8981051,601.8211777,571.1827897,597.4786763,596.3719741,609.3669564,617.2730845,629.6185462,645.9886284,666.6602645,686.6600724,708.6331947,798.6296105,838.561091,880.4891455,928.9160485,970.7172707,1014.399548,1063.090726,1116.245263,1177.638752
          Guin_e _quatoriale,213.2522645,222.3907003,227.296099,243.9441509,251.3495983,267.8840117,268.660542,288.3200162,273.8879166,260.2134076,272.8083501,288.5472934,294.8921141,309.6556596,312.7901904,319.0024327,306.9027946,329.8509518,347.2596149,337.6786769,329.3843519,330.4461685,374.387678,409.8877457,448.3344435,500.805282,674.0926069,1316.247751,1548.997327,1908.385397,2158.383884,3621.768158,4361.812138,4989.913086,6616.624751,7205.504354,7609.012598,9435.175622,10954.2389,11403.36269,11551.60641,11482.29677,12090.8585,11505.42176,11240.79591
          Ärythr_e,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,657.3114563,741.9868958,897.1963834,918.0524222,1001.923857,1081.075532,1102.324589,1104.384123,967.9416627,1052.689179,1084.327001,1055.532531,1070.856059,1098.424709,1087.778597,1103.299258,995.3631636,1033.948436,1056.635226,1148.327821,1228.939993,1242.953682,1282.7282
          Äthiopie,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5703.084226,6465.19282,6690.597294,7100.13175,8034.311326,8318.958897,7982.426632,8394.512167,8904.299176,9643.483364,9789.540754,9577.980553,10877.9741,12163.59194,13481.49913,15025.92443,16647.02014,18112.35667,20385.55401,22644.90499,24620.74381,27172.05056,29243.08632
          Äthiopie (...1991),4837.934365,5054.78215,5295.459362,5438.155578,5517.213206,5516.416922,5612.448777,5672.090451,5599.469347,5917.345935,6254.492596,6447.193333,6523.795857,6856.324071,6517.66447,6134.492592,6558.832355,7160.767592,7318.86163,7442.640124,7427.544216,6930.207464,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
          Gambie,204.7602246,204.6927796,204.87263,214.6070585,230.6812098,244.7448644,241.482891,245.2466258,257.5151286,249.2498774,249.8526904,294.9311424,315.6617547,304.5824438,313.1994525,323.8214087,330.7593525,340.9162615,358.2649672,371.1044639,384.4373302,395.5061512,409.3984727,422.4679041,429.0669505,431.2911388,449.6145568,451.5019187,468.0025468,500.0418311,530.717639,561.4155734,563.9822601,576.9715796,630.1070684,624.1725118,631.1873969,654.1063135,691.6169161,736.2257848,784.2617907,750.3135966,796.0436393,840.9876442,875.4681376
          Guin_e,931.7167385,981.7109668,1004.439338,1020.181783,1073.743583,1104.634334,1192.15858,1152.18467,1230.490188,1215.62758,1247.25077,1254.855721,1277.443184,1294.050096,1312.16692,1377.774355,1420.6788,1467.560308,1560.135731,1622.595396,1692.75742,1717.384029,1773.585461,1863.12485,1937.662198,2028.345705,2132.944676,2243.458208,2346.323187,2452.153547,2522.895093,2616.242211,2752.286806,2785.314248,2849.376476,2934.85777,2962.754321,3014.856662,3160.76676,3157.390771,3217.795894,3343.289934,3473.678241,3560.520197,3574.762278
          Guin_e-Bissau,339.373058,326.1002881,346.8887279,350.7388208,366.729849,395.5019486,415.0534108,385.2937908,435.867621,444.5594504,373.6404307,371.7815256,387.3963459,374.2248691,394.8072447,411.7839428,407.666109,430.6647505,460.3807311,481.0968659,496.970268,511.8803307,517.2612285,527.8702481,544.5150607,568.5542988,594.6875143,633.3628589,461.3720826,496.6022044,533.8959949,544.4023062,537.0640487,539.1617757,551.1610701,586.7918361,600.3444985,619.5845168,639.4399275,661.1684365,690.5636207,727.4343108,716.5197211,718.6613765,734.4719267
          Ha¥ti,2719.497194,2895.730959,2924.025371,3063.072196,3240.114373,3276.492903,3552.969728,3569.946375,3743.754906,4026.699025,4324.194557,4200.507556,4049.334555,4087.329908,4099.456085,4123.708438,4102.689732,4071.970084,4264.372086,4312.06838,4307.217909,4318.535674,3749.413788,3658.87167,3355.717256,3503.65661,3598.240787,3695.619314,3776.321396,3878.762414,3912.413098,3871.615366,3861.788176,3875.784478,3739.394982,3806.696349,3892.460923,4022.596752,4056.545229,4181.618566,3951.721861,4170.004614,4290.313252,4474.647527,4631.439176
          Kiribati,109.1915656,106.6909784,119.5784511,144.5821465,210.0818784,221.3095344,162.0688738,154.5931842,156.2312745,138.1318929,76.74042316,74.07689612,81.59036081,73.59352698,79.27463664,75.61801602,76.79509219,74.44296258,88.02382847,80.4901387,82.20721301,87.37663904,87.53964701,88.04679825,89.20359575,88.63172152,91.29771151,93.4502164,100.2366272,97.4719235,109.2066787,104.0086503,104.313821,108.7044894,106.8409381,112.1362148,110.3613371,112.8185487,112.667266,113.5011759,111.6628989,111.8544503,115.6297999,118.9830643,122.5525562
          R_p. d_m. populaire lao,425.8381047,447.0818652,462.5139287,502.8902899,521.2093216,555.981669,572.4161044,561.0003937,566.5820944,555.2607852,610.8083186,704.4562798,754.3581858,789.7001141,846.3004506,889.2075783,932.6465535,919.34895,900.8681877,1028.707119,1097.677597,1144.840014,1208.49149,1279.944233,1384.37512,1481.714055,1584.372002,1693.251492,1760.433075,1889.056936,1998.599236,2113.54693,2238.642469,2377.657498,2544.599636,2716.783867,2951.637842,3183.120046,3430.916366,3688.302052,3988.199287,4308.870005,4649.202256,5019.650073,5386.084529
