Date,  ツonomies en d思eloppement,    ツonomies en d思eloppement : Afrique,    ツonomies en d思eloppement : Am屍ique,    ツonomies en d思eloppement : Asie,    ツonomies en d思eloppement : Oc斬nie,    PMA : Afrique et Ha付i,    PMA : Asie,    PMA : �les
1971,3.724123953,1.027964556,3.710076741,4.743362015,3.709574598,1.560420721,-5.177475231,0.129661102
1972,4.174587323,2.223600566,4.6928165,4.414829603,0.028939626,-0.632583883,-11.8267836,1.545646219
1973,5.071565448,1.591107439,5.812563639,5.630870895,-1.138144525,-0.021576718,-0.744404533,8.454979289
1974,3.860883089,4.057241212,3.702657673,3.807295204,6.300505273,1.329033702,5.144930834,18.81614574
1975,1.660545028,-0.113244924,1.435491144,2.368243849,-1.800703726,-1.506819356,-1.915201965,-2.32789598
1976,4.534798242,3.459395525,3.476696533,5.716191023,-1.068617373,-0.635909229,3.413653122,-7.600307449
1977,3.166115644,0.423577989,2.442740766,4.560499075,-1.729210433,-0.883302518,-0.677400081,1.237113702
1978,2.20293962,-0.772095765,2.427526632,2.750896674,5.100796514,-4.061646962,4.286018416,3.247382494
1979,3.290246766,0.848336931,4.125466937,3.191389407,-2.795786674,-1.844733961,0.260157855,4.543842519
1980,2.478731366,0.525270668,3.937123491,1.698283912,-4.312340936,-0.846299991,-1.231970116,-12.14387239
1981,0.564571806,-1.730870079,-0.566815314,2.210098326,-1.289529921,-1.943629825,1.632986087,-0.836925702
1982,-0.937785085,-0.835946865,-2.604769438,0.422070643,0.863818822,-1.308921525,0.814456598,1.735087009
1983,-0.533948996,-2.588004319,-4.644003058,3.574036222,-0.86385231,-2.576414277,1.846481017,1.696824337
1984,2.638301533,0.34320931,1.576879787,4.152923222,0.80348111,-1.935016176,2.471753339,2.09097093
1985,1.499844038,0.81640585,1.073865353,2.069421482,0.696290292,-0.300649175,0.701793745,-0.52430221
1986,1.666294462,-1.646444611,1.101499989,3.089960716,2.493696849,1.665411261,1.215124134,-3.044319579
1987,2.654522949,-1.983054271,1.069270673,5.188844925,0.956986004,0.249712687,-0.405273233,-1.78479715
1988,2.269441932,1.565211013,-1.018138237,4.893518171,6.128306301,1.198659146,-0.915870265,1.533087395
1989,1.439107885,1.049671477,-0.324501598,2.809351173,3.613653595,-2.162710268,-0.250983602,-0.872165856
1990,1.86793131,0.175769602,-1.323328216,4.433456176,0.309288173,-2.034596981,1.204641164,0.896852047
1991,2.112515194,-1.125165405,1.555005195,3.2503454,2.370664104,-2.722950327,-1.019952739,2.313419393
1992,3.474441354,-2.655479031,1.143007934,6.299331539,1.466490796,-5.079597681,1.647786331,1.510525743
1993,3.362173721,-2.564027711,1.637191099,5.613474062,2.179003804,-5.581010575,-0.829289579,0.143128625
1994,3.816208457,-0.141514245,2.931027493,5.109075216,0.832482491,-2.277255311,0.200814676,-0.378611183
1995,2.991285763,0.311554881,-1.120202175,5.768932144,-0.516884798,2.321422046,6.059709818,2.876712968
1996,4.226742201,2.776375312,1.86809017,5.730798343,0.31977096,4.150927633,4.025954663,-1.212848934
1997,3.890318092,0.63917359,3.598638956,4.654676612,-3.206825896,1.248694981,2.534209031,-0.919595042
1998,0.513837392,0.410506699,0.844765376,0.404262591,-0.749230032,0.821418826,2.337383719,0.540263497
1999,2.113025524,0.158898289,-0.907353851,3.977158685,1.462743652,0.932010995,3.025061094,-2.246691529
2000,4.196173665,1.151727721,2.793786726,5.440978329,-0.853031539,0.283315368,4.39345129,-3.820456539
2001,1.362176905,1.559167425,-0.783706952,2.400771346,-0.966522451,3.87089224,3.64590662,-4.736545685
2002,2.957831205,3.507980529,-0.974168487,4.722714823,0.041467504,2.993984334,5.165817279,-3.027201677
2003,3.78833226,2.905218272,0.537362081,5.413959643,1.586705932,2.234892186,4.471493679,-14.02695111
2004,5.91065536,3.432862463,4.553357353,6.989017718,0.701336686,4.694245471,4.799358372,34.88003769
2005,5.376533989,3.46568592,3.260152976,6.656398928,0.719123385,5.999383322,5.310913752,24.56809777
2006,6.155793899,3.295428216,4.332179796,7.455066101,0.727678409,4.978903912,5.656806737,31.57651523
2007,6.485760079,3.545475167,4.289316509,7.915462149,1.958760085,6.479437389,5.932310919,-0.206110497
2008,3.706187291,2.846065036,2.482107079,4.448510294,0.041481431,4.438722094,4.795925287,6.916065288
2009,1.48315122,0.493200747,-2.715486217,3.282649801,-1.06887231,1.645087569,5.03730319,-5.70896709
2010,6.283522247,2.578356763,4.600659628,7.567804737,1.437433037,2.980783965,4.948339294,-1.220616657
2011,4.357664494,-1.515250175,3.151978079,5.754100155,2.37799207,1.121732987,2.286581328,4.141173899
2012,3.259600713,2.476242364,1.785133723,4.02719971,1.267472461,0.090093168,4.916484197,-7.477254898
2013,3.228649101,0.894655988,1.47109432,4.281307472,0.910812355,2.363846812,4.574396906,2.451426074
2014,2.962312216,0.719060511,0.212073755,4.284083033,1.984423764,1.98925136,4.310622992,-2.879226429
