"Intervenants & Fonctions occupées par l'élu, le fonctionnaire international, le cadre, etc","Cadres (Administratif / technique, internationaux, locale)",Dates des tables rondes
"Fonds des Nations Unies pour l'Agriculture (FAO), Programme des Nations Unies pour le Développement, ",Technique et internationale,Février à mars 2014
"Fonds des Nations Unies pour l'Enfance, ",,
"Ministère de la Planification (MPCE), ",,
"Chambre de Commerce et de l'Industrie du Nord, ",,
"Chambre de commerce et de l'Industrie du Nord-Est, Fonkoze (http://www.fonkoze.org/ : Institution de Microfinance), ",,
Organisation Internationale du Travail (ILO); ,,
"Croix-Rouge Française, membre des associations et coopératives locales.",,
Redcross,Technique et Internationale,22 Février 2016
USAID,,
Internews,,
Global Communities,,
UN-Habitat,,
Directeur Régional Nord du projet Lokal+ / USAID,Technique,9  mars 2016
"Entretient avec les utilisateurs des infrastructures des marchés publics (Caracol, Limonade)","Petits producteurs de fruits et légumes, utilisateurs des marchés publics construits",9  mars 2016
Maire adjoint,Administratif ,10 mars 2016
Maire adjoint,,
Mayor de Caracol,Administratif,18 mars 2016
Agronome Lokal+ Consultant,,
Maire de Caracol*,,
"Société civile : Reverent Père (Coordinator comité des citoyens),",Technique et administratif,18 mars 2016
Vice Coordinateur pour le comité des citoyens et représentant des producteurs de Sels ;,,
"Représentant de l’association des paysants, ",,
Membre du comité de projet de DEL dans la commune de Caracole ;,,
Représentant des associations de femme;,,
Directeur Général de la Mairie de Ouanamithe,Administratifs ;,19 mars 2016
"Service des Fiscalité Maire de Ouanaminthe,",,
*** Directeur général de la mairie,,
Animateur socio culturel de la mairie ;,,
Evaluateurs externe du programme de l'Union Européenne (AGIL),Experts internationaux (Technique et internationale),14 juin 2016
Evaluateurs externs du programme AGIL de l'Union Europeenne;,,
Chief of Party programme Loka+;,,
Entretient avec le Directeur Général du Ministère de l’Intérieur et des Collectivités Territoriales; Chef de cabinet du Directeur Général  ;,Ministère de l'Intérieur,Aout 2016
"Entretient avec le Directeur des collectivités, et la specialiste technique du Ministère de l'Intérieur et des Collectivités Territoriales; ",Ministère de l'Intérieur,Aout 2016
"Agriculteurs et petits entrepreneurs de Kenscoff
Cadre techniques de la Marie de Lauderdale lakes (Floride/ USA) - cadre de coopération entre les mairies (Lauderlade - Floride / USA)","Population locale, cadres des mairies de Fort Lauderdale et Lauderdale lakes",22 Septembre 2016
